level,BlockItem,Bomb,Dropline,Empty tray reward,Frozen,Goldlock,GrillBomb,GrillIceMain,GrillIceNeighbor,GrillLock,Hidden,HorizontalConveyer,Ice,LockArea,Lockitem,Mini tray,Octochef,Order,Overcook,SilverLock,SpicyTray,ToggleGrill,Vending3,VendingTray,VerticalConveyer,WoodenTray,Wrapped,time
1045,,,,,2,,2,1,2,2,13,1,,,,,,,2,,,,,,,,,320
1046,,,,,4,,1,1,2,2,4,,,,,,,,1,,,,,4,,,,320
1047,,,,,,,,1,2,,11,4,,,,,,,,,,,,,,,,350
1048,,,,1,,,1,1,2,1,13,,,,,,,,1,,,,,,,,,240
1049,,,,1,,,1,,,2,13,,,,2,,,,1,,,,,,,,,330
105,,1,,2,1,,,,,3,,3,,,1,,,,,,,,,,,,,365
1050,,,,1,,1,,,,1,18,,,,,,,,,1,,,,4,,,,280
1051,,,,,,1,1,,,2,10,,,,,,,,1,1,,,,4,1,,,300
1052,,,,1,5,,,,,,17,,,,,,,,,,,,,2,,2,,280
1053,,,,,,,1,,,2,6,3,,,,10,,,,1,,,,13,,,,330
1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
1055,,,,,,,1,,,,13,,2,,1,,,,1,,,,,,1,,,270
1056,,2,,,,,,1,2,2,16,,,,,,,,,,,,,4,,1,,280
1057,,,,,,,1,,,3,11,,,,,2,,,,,,,,4,,,,270
1058,,,,1,,,2,,,2,,1,,,,,,,2,,,,,3,,,,300
1059,,,,,,,1,,,4,6,,,,,,,,1,,,,,5,,1,,330
106,,1,,2,1,,,,,,,,,,,2,,,,,,,,2,,,,360
1060,,,,,,1,2,,,2,8,1,,,,,,,2,1,,,,3,,,,280
1061,,,,,,,,1,2,1,,,,,,,,,,,,,,4,,2,,240
1062,,,,1,,,,1,2,,10,2,,,,,,,,,,,,2,,,,320
1063,,,,,5,,2,,,,8,2,,,,,,,2,,,,,2,,,,460
1064,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1065,,,,1,,,,,,,15,,3,,,,,,,,2,,,,,2,,200
1066,,,,,3,,1,1,2,1,8,1,,,,,,,1,,2,,,,,,,350
1067,,1,,,3,,,,,1,8,,,,,,,,,,2,,,3,,1,,360
1068,,,,1,,,,1,2,,16,,,,,1,,,,,,,,4,,1,,310
1069,,,,1,,,2,,,2,,2,,,2,5,,,,,,,,5,,,,380
107,,,,1,,,,,,,,,2,,,2,,,,1,,,,4,,,,390
1070,,,,,5,,,2,4,,,,,,,,,,,,,,,,,2,,270
1071,,,,,,,,1,2,,12,,,,1,4,,,,,,,,2,1,,,360
1072,,,,,,1,,,,,10,,2,,,,,,,,,,,10,2,,,420
1073,,,,1,3,,1,,,3,9,,,,,,,,1,,,,,4,,,,380
1074,,,,,,,2,,,,12,3,,,,,,,2,,,,,3,,,,410
1075,,,,,,,,,,,11,3,3,,,,,,,,,,,4,,6,,370
1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
1077,,,,,,1,,1,2,1,12,,,,1,,,,,1,,,,,1,,,250
1078,,,,1,,,,,,1,18,,,,1,,,,,,,,,,,,,270
1079,,,,1,4,1,,1,2,,8,,,,,,,,,,,,,3,,,,350
108,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,340
1080,,,,,,,,,,,6,3,3,,,10,,,,,,,,10,,,,320
1081,,3,,1,5,1,,,,1,12,,,,,,,,,1,,,,,,1,,250
1082,,3,,,,,,,,2,8,1,,,1,5,,,,,,,,7,,,,320
1083,,1,,,,1,,,,2,14,,,,,,,,,1,,,,4,,,,260
1084,,,,1,,,,,,3,8,,,,,,,,,,,,,6,,,,340
1085,,3,,,,,,,,,22,,,,,,,,,,,,,,,2,,300
1086,,2,,1,,1,,,,1,12,2,,,,8,,,,1,,,,8,,,,280
1087,,,,,3,,,,,,5,1,,,,13,,,,,,,,,,,,250
1088,,3,,,,,,1,2,2,12,,,,,,,,,,,,,4,,,,320
1089,,2,,1,,,1,,,1,10,,,,1,,,,1,1,,,,,,,,270
109,,1,,,1,,,,,2,,,,,,,,,,1,,,,,2,,,365
1090,,,,,,1,1,,,1,11,2,,,,,,,1,1,,,,13,,,,270
1091,,1,,1,4,,,,,,14,,2,,,,,,,,,,,,,,,200
1092,,,,,5,1,1,,,3,8,1,,,1,,,,1,1,,,,,,,,270
1093,,,,,5,,2,,,,13,3,3,,,,,,,,,,,,,,,330
1094,,,,,,1,1,,,1,16,3,,,,,,,,1,,,,4,,,,360
1095,,,,,3,,,,,,,,,,,,,,,,,,,,,,,240
1096,,2,,,5,,,,,,14,,,,,,,,,,,,,5,,2,,375
1097,,,,,,1,,,,2,9,2,,,1,,,,1,1,,,,,,,,270
1098,,,,1,,,,,,,11,,2,,,7,,,,,,,,7,2,,,360
1099,,3,,,,1,,,,2,12,,,,,,,,,1,,,,4,,,,330
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,360
110,,,32,,,,,,,,,,,,,,,,,,,,,,,,,330
1100,,,,,,,2,,,,12,,2,,1,,,,,,,,,6,,,,300
1101,,,,,5,,2,,,1,9,2,,,,,,,2,,,,,4,,,,360
1102,,,,,6,,,,,,13,,3,,,,,,,,,,,,,,,240
1103,,,,,,1,1,,,,,,2,,,,,,1,1,,,,,,1,,300
1104,,3,,,,,,1,2,2,14,,,,,,,,,,,,,5,,,,310
1105,,,,,,,1,,,,12,1,3,,,,,,1,,,,,2,,,,300
1106,,,,,5,1,1,,,3,14,1,,,,,,,1,1,,,,,,,,320
1107,,,,,5,,1,,,,,1,,,,5,,,1,,,,,5,,2,,395
1108,,,,,,,,,,,,3,4,,,10,,,,,,,,13,,,,435
1109,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
111,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,330
1110,,,,,4,1,1,,,2,9,2,,,1,,,,1,1,,,,3,,,,320
1111,,,,,,1,,1,2,,,,,,,,,,,1,,,,4,,,17,250
1112,,,,,,,,,,3,,,,,,,,,,,,,,6,1,,26,330
1113,,,,1,,1,,1,2,1,,1,,,,,,,,1,,,,,,,20,270
1114,3,,,1,,1,,,,2,,,,,,,,,,1,,,,,,,,250
1115,2,,,,,,,,,,,,2,,,,,,,,,,,,,,6,260
1116,,,,,,1,2,,,1,,,,,,,,,,1,,,,4,,,17,230
1117,,,,1,,1,,,,2,,,,,,,,,,1,,,,,,,21,350
1118,,,,1,5,,,1,2,,6,1,,,2,5,,,,,,,,5,,,,400
1119,4,,,,,,1,,,2,,,,,,,,,1,,,,,2,,,8,330
112,,,,1,,,,,,,,,,,,2,,,,,,,,2,,1,,360
1120,,,,,,1,,,,,,3,2,,,5,,,,1,,,,5,,,20,320
1121,,,,,3,,,,,,5,1,,,,13,,,,,,,,,,,,390
1122,3,,,,,1,1,,,,,,,,,,,,1,1,,,,3,,,12,240
1123,,,,1,,,1,,,,,,2,,2,,,,1,,,,,,,,26,300
1124,,,,,,1,1,,,,,2,2,,,,,,1,,,,,4,,,17,400
1125,,,,,,1,,,,,,,3,,,,,,,1,,,,,,,16,300
1126,4,,,,,1,,,,,10,,2,,,,,,,1,,,,,,,18,220
1127,3,,,1,5,,,,,,9,,3,,,,,,,,,,,6,,,8,400
1128,3,,,,,1,,,,1,,2,,,,8,,,,1,,,,4,,,9,370
1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
113,,,,1,,,,,,,,,,,,,,,,,,,,2,,1,,300
1130,,,,,,,1,,,2,,1,,,,10,,,,,,,,6,,1,14,375
1131,4,,,,,,1,,,4,,1,,,2,,,,1,,,,,,,,15,280
1132,4,,,,,1,,,,,,,2,,,,,,,,,,,4,,,24,300
1133,,,,,3,1,,,,,,,2,,,,,,,,,,,6,,,20,300
1134,,,,1,,,2,,,3,,2,,,2,,,,,,,,,,,,20,330
1135,,,,1,,1,,,,2,22,,,,,,,,,,,,,5,,2,,300
1136,4,,,,,,,,,1,,,,,,,,,,,,,,3,,,21,290
1137,,,,1,,,,,,2,,,2,,,,,,,,,,,,,3,29,330
1138,4,,,1,,,,1,2,2,,2,,,,5,,,,,,,,5,,,14,300
1139,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
114,,,,1,1,,,,,1,,,,,1,,,,,,,,,,,1,,340
1140,,,,1,,,1,,,,,,4,,,,,,1,,,,,,,,28,240
1141,,,,,,,2,,,,17,,,,,,,,2,,,,,,2,,,330
1142,,,,,,1,,,,,,,2,,,,,,,,,,,,,,30,280
1143,,,,,,1,1,,,,23,,2,,,,,,1,1,,,,5,,,,460
1144,3,,,,,,,,,,,1,3,,,,,,,,,,,3,,,15,400
1145,4,,,,,,,,,2,,2,,,,7,,,,,,,,7,,,24,370
1146,,,,1,,1,1,,,2,,,,,,,,,1,1,,,,,,,,270
1147,4,,,1,,,,,,,,,3,,,,,,,,,,,3,,,26,350
1148,5,,,,,,,,,4,,,,,,,,,,,,,,4,,,28,250
1149,,,,,,,2,,,5,,,,,,,,,,,,,,,2,,16,420
115,,1,,1,,,,,,,,,1,,,,,,,,,,,4,,,,375
1150,,,,,,1,1,,,,35,3,2,,,10,,,1,1,,,,10,,,,360
1151,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1152,,,,,9,,,,,,,,,,,,,,,,,,,3,,1,,335
1153,5,,,,,,,,,2,,,,,,,,,,,,,,6,,,18,300
1154,,,,,,,,,,1,,,,,,,,,,,,,,,,,45,250
1155,,,,,,,1,,,,,3,3,,,,,,,,,,,,,,19,300
1156,,3,,,,,,,,,,,2,,,,,,,,,,,,,1,,250
1157,,,,1,,,,,,,,,2,,2,,,,,,,,,,,2,28,250
1158,,,,,,,1,,,3,,,,,,,,,1,,,,,4,,,,340
1159,,,,,,1,1,,,,17,,2,,1,,,,1,1,,,,,2,,,320
116,,,,1,1,,,,,3,,,,,,2,,,,,,,,2,,2,,380
1160,,,,1,,,1,,,3,,3,,,,,,,1,,,,,,,3,14,340
1161,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1162,,,,,,1,2,,,2,,,,,,,,,,1,,,,,,,18,250
1163,,,,,,,1,,,,,,,,,,,,1,,,,,4,,,8,330
1164,,,,1,,,,,,,,1,2,,2,5,,,,,,,,5,,,,280
1165,,,,1,,1,1,,,,,1,1,,,,,,,1,,,,,,,19,300
1166,3,,,,,,,,,,,,3,,,,,,,,,,,4,,,20,260
1167,,,,,,,,,,4,,3,,,,,,,2,,,,,,,,22,300
1168,,,,1,5,,,,,,,,3,,,,,,,,,,,2,,2,12,330
1169,,,,,,,1,,,,,,4,,,,,,1,,,,,,,2,15,300
117,,,,,,,,,,3,,,,,,13,,,,,,,,,1,2,,450
1170,4,,,,,1,,,,,,,2,,,,,,,1,,,,4,,2,11,260
1171,,,,,,,,,,,,2,6,,,,,,,,,,,,,,33,240
1172,,,,1,6,,1,,,,,3,3,,,,,,,,,,,,,3,22,330
1173,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1174,,,,,,1,,1,2,,,2,,,,,,,2,,,,,4,,,27,330
1175,,,,,,,,,,,,,2,,,,,,,,,,,,,,33,250
1176,,,,1,,,1,,,,,,5,,,,,,1,,,,,,2,,26,310
1177,,,,1,,,,,,,,,3,,,,,,,,,,,5,,,26,320
1178,,,,,8,,,,,2,,,,,,,,,,,,,,,,2,51,260
1179,,,,1,,1,1,,,2,,2,,,,5,,,1,1,,,,5,,,,340
118,,,,1,,,,,,2,,,,,,,,,,,,,,2,2,1,,445
1180,3,,,1,,,,,,,,,2,,2,,,,,,,,,4,,,34,280
1181,,2,,,,,,,,,,,4,,,,,,,,,,,,,,1,300
1182,,,,1,,,1,,,3,14,3,,,,10,,,,,,,,10,,,,350
1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
1184,4,,,,,1,,,,,,,2,,,,,,,,,,,3,,,,250
1185,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1186,,,,,,,1,,,,,,4,,,,,,,,,,,,,,30,250
1187,4,,,1,,,,,,2,,,,,,,,,,,,,,,,,54,190
1188,,,,1,,1,,,,,,,2,,,,,,,,,,,5,,,,480
1189,,,,1,,,,,,,,1,3,,,10,,,,,,,,3,,1,52,390
119,,,,1,,,,,,4,,,,,,,,,,,,,,4,,,,435
1190,,,,1,,,,,,,22,,4,,,,,,,,,,,,,3,39,280
1191,,3,,1,,,,,,,36,,2,,,,,,,,,,,,,1,,280
1192,4,,,,,,,,,,,,3,,,,,,,,,,,3,,1,32,210
1193,,,,1,,,,,,,33,2,3,,,,,,,,,,,3,,4,,370
1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,300
1195,,,,1,,1,2,,,,,,3,,,,,,2,1,,,,,,,31,240
1196,,,,1,,,,1,2,,19,2,,,,,,,,,,,,,,6,,300
1197,,,,,,,,,,,,,3,,,3,,,,,,,,4,2,3,33,300
1198,,,,,,1,,,,,32,,2,,1,,,,,1,,,,,2,,,260
1199,,,,,,,1,,,,,2,3,,,,,,1,,,,,4,,,34,340
12,,,,,,,,,,,,1,,,,10,,,,,,,,,,,,330
120,,,31,,,,,,,,,,,,,,,,,,,,,,,,,330
1200,,,,1,,,,,,,19,2,2,,1,12,,,,,,,,12,,,,360
1201,,,,,,,,,,4,,,,,,,,,,,,,,,,,,250
1202,,,,1,,1,,,,2,,,,,,,,,,1,,,,,,,30,340
1203,,3,,,,,,,,,,,3,,,,,,,,,,,5,,2,,250
1204,,,,,,,,,,1,,1,,,,5,,,,,,,,13,,,41,300
1205,,,,1,,1,,1,2,,,2,,,,4,,,,,,,,6,,,20,420
1206,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1207,,3,,,,,1,,,,,3,,,,,,,1,,,,,,,,42,330
1208,,,,,,,,,,,,,2,,,,,,,,,,,,,2,51,250
1209,,,,,,,,,,,,,2,,,,,,,,,,,4,,1,30,300
121,,,,1,,,,,,,,,2,,,,,,,,,,,,,1,,330
1210,,,,,,,,,,,,,3,,,,,,2,,,,,4,1,,30,360
1211,,,,,,1,,,,,23,,2,,,,,,,,,,,4,,,24,330
1212,,,,1,5,,2,,,,,3,2,,,,,,,,,,,,,,24,390
1213,,,,,,,,,,,,3,2,,,,,,,,,,,,,6,23,480
1214,,3,,,,1,,1,2,,,,,,,,,,,,,,,2,,,28,300
1215,,,,,,,2,,,,,,3,,,,,,,,,,,,3,,36,300
1216,,,,1,3,,2,,,,,3,2,,,,,,,,,,,,,,24,390
1217,,,,,,,,,,,29,,3,,,,,,2,,,,,3,,2,,360
1218,,,,1,,,1,,,,,3,,,,,,,,,,,,,,2,14,320
1219,,,,1,,1,,,,,,2,2,,,5,,,2,,,,,5,,,,420
122,,1,,,1,,,,,4,,,,,,,,,,,,,,,,,,390
1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,280
1221,,,,1,,,,,,,,,3,,,,,,,,,,,,,3,,250
1222,,,,,,,,,,3,,,,,,,,,,,,,,6,,3,,250
1223,,,,,,1,,,,2,,,,,1,,,,,1,,,,,2,,51,300
1224,,,,,,1,1,,,3,,1,,,,,,,,1,,,,,,2,,300
1225,,,,,,1,,,,1,,,,,1,,,,,,,,,,,3,26,250
1226,,,,,,,,,,2,,,,,,,,,,,1,,,4,,,,250
1227,,,,,,1,2,,,,29,,4,,,,,,,1,,,,,2,,,280
1228,,,,,,1,1,,,2,,,,,,,,,,1,,,,4,,,25,330
1229,,,,,,,,,,,,,3,,,,,,,,,,,,,1,54,300
123,,,,1,,,,,,,,,2,,,,,,,1,,,,4,,,,375
1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,250
1231,,,,1,,1,,,,,,2,,,1,9,,,2,1,,,,3,,,21,320
1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
1233,,,,,,,,,,,,,2,,,,,,,1,,,,,,,36,250
1234,,,,1,,1,,,,1,36,2,,,1,,,,2,,,,,,,4,,260
1235,,,,1,,,,,,3,,2,,,,,,,2,,,,,,,2,26,340
1236,,,,,,,2,,,6,,,,,,,,,,,,,,,3,3,,250
1237,,,,1,,,,,,,,,2,,2,,,,,,,,,,,2,,300
1238,,,,,,,,,,,,,2,,,,,,,,,,,6,,,,300
1239,,,,1,,,,,,,,2,2,,1,12,,,,,,,,12,,,,340
124,,1,,2,1,,,,,,,3,3,,,,,,,,,,,,,,,405
1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
1241,,,,,,,2,,,,,,,,,,,,2,,,,,,,,45,300
1242,,,,,,,1,,,,,,,,3,,,,1,,,,,,,,,250
1243,,,,,5,,,,,,,,6,,,,,,2,,,,,,,,,340
1244,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,250
1245,,,,1,,,,,,3,,,,,,,,,,,2,,,,,,,240
1246,,,,1,4,1,,,,,,,2,,,,,,,1,,,,,,,,340
1247,,,,,,,,,,2,,,,,,,,,,,,,,5,,,48,250
1248,,,,1,,,1,,,3,14,1,,,,,,,,,,,,4,,,,300
1249,,,,1,,,,,,2,29,1,,,,10,,,,,,,,4,,,,320
125,,,,2,,,,,,3,,4,,,,,,,,,,,,,,,,440
1250,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1251,4,,,1,,,,,,3,,,,,,,,,,,,,,,,,,250
1252,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,355
1253,,,,,,1,,,,,31,,2,,,,,,,1,,,,5,,,,280
1254,,,,,,,1,,,,18,,6,,,,,,,,,,,,3,,,280
1255,,,,,,,,,,,,3,3,,,,,,,,,,,4,,,82,360
1256,,,,,,,,,,,,,6,,,,,,2,,,,,,1,,,250
1257,,,,,,1,,,,,,,2,,,,,,,1,,,,,,,33,300
1258,,,,1,,,1,,,3,14,3,,,,10,,,,,,,,10,,,,350
1259,,,,1,,1,,,,2,,3,,,,10,,,1,1,,,,,,,,280
126,,,,2,1,,,,,2,,,,,,2,,,,,,,,4,,1,,375
1260,,,,1,,,2,,,,29,,4,,,,,,,,,,,,2,,,250
1261,,,,,,,1,,,,36,1,3,,,,,,,,,,,3,,,,280
1262,,,,1,,,,,,2,,,,,,,,,,,,,,,,,58,320
1263,,,,,,,,,,,,,,,,,,,2,,,,,,,,36,330
1264,,,,1,,,,,,3,,1,,,,10,,,,,,,,3,,,32,320
1265,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1266,,,,,4,,,,,,,,2,,,,,,,,,,,,,2,38,300
1267,,,,1,,,1,,,3,30,1,,,,5,,,,,,,,5,,,,330
1268,,,,,,,,,,3,35,,,,,,,,1,,,,,4,,,,360
1269,,,,,,,,,,,,,4,,,,,,,,,,,,,1,36,390
127,,,,1,,,,,,4,,1,,,,,,,,1,,,,,,,,370
1270,,,,,4,,,,,,,,2,,,,,,,,,,,6,1,,41,300
1271,,,,,,,,1,2,,,3,,,,,,,,,,,,,,,63,330
1272,,,,,,1,,,,,,,2,,,,,,,1,,,,,,,,390
1273,,,,,,,,,,,,,2,,,,,,,,,,,4,,,68,360
1274,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1275,,,,,,,,,,,39,3,4,,,5,,,,,,,,5,,,,480
1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
1277,,,,,,,,,,,,,6,,,,,,2,,,,,,3,,,330
1278,,,,,,1,1,,,,41,1,2,,,,,,,1,,,,4,,,,330
1279,,,,,,1,,,,,,,2,,,,,,,1,,,,,,,,330
128,,,29,,,,,,,,,1,,,,,,,,,,,,,,,,330
1280,,,,,,,,,,,25,5,3,,,,,,2,,,,,,,,,500
1281,,,,,,,1,,,,24,,4,,,,,,,,,,,,,,,300
1282,,,,,,1,,,,,,,2,,,,,,1,,,,,6,1,,50,300
1283,,,,,,,,,,,,,3,,,,,,,,,,,4,,1,,360
1284,,,,,,,,,,,32,3,2,,,10,,,,,,,,6,,,,390
1285,,,,,,,1,,,1,,3,,,1,,,,,,,,,3,,,,335
1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
1287,,,,,,,,,,,,,2,,1,,,,,,,,,,,,50,300
1288,4,,,,,,,,,3,,,,,,,,,,,,,,3,,,36,510
1289,,,,,4,1,,,,,,,3,,,,,,,1,,,,,1,,,280
129,,,,1,,,,,,,,,5,,,10,,,,,,,,,2,1,,420
1290,,,,,,,,,,,,,3,,,,,,,,,,,10,,,45,450
1291,,,,1,,1,,1,2,,,2,,,,5,,,,,,,,5,,,30,450
1292,3,,,2,,,1,,,4,,2,,,,,,,,,,,,,,,55,300
1293,,,,,,1,,,,,37,,2,,,,,,,1,,,,5,,,,240
1294,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,290
1295,3,,,,,,,,,,,,3,,,,,,,,,,,4,,,48,320
1296,,,,,,,1,,,,,,,,,,,,1,,,,,4,,,,405
1297,,,,,,,1,,,,,3,3,,,,,,1,,,,,3,,,42,480
1298,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
1299,,,,2,,,1,,,,51,,3,,,,,,1,,,,,,,,,300
13,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,240
130,,,,1,2,,,,,2,,,,,,3,,,,,,,,5,,,,360
1300,,,,,,,,,,,,1,3,,,,,,,,,,,3,,2,42,345
1301,,,,,,,1,,,2,24,,,,2,,,,,,,,,4,1,2,,330
1302,,,,,4,,1,,,3,,2,,,,5,,,,,,,,5,,1,39,450
1303,,,,,,,1,,,,36,,3,,,,,,,,,,,,,1,,300
1304,,,,1,4,,1,,,,,,3,,,,,,,,,,,,,2,39,300
1305,,,,,,,,,,,,,4,,,,,,,,,,,6,,2,40,300
1306,,,,1,,,,,,,,1,3,,,5,,,,,,,,5,,2,,390
1307,,,,2,8,,,,,,,1,,,,10,,,,,,,,8,,,35,450
1308,,,,2,,1,,,,,,3,2,,,4,,,,1,,,,6,,,29,480
1309,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
131,,,,,,,,,,,,,1,,,2,,,,1,,,,2,,1,,390
1310,,,,,,,,,,,,,3,,2,,,,2,,,,,,,2,46,220
1311,,,,,11,1,,,,1,,,,,,,,,,1,,,,3,,2,,300
1312,,1,,,5,1,,,,,,,4,,,,,,,1,,,,,2,4,,240
1313,,,,,,,1,,,,,,3,,,,,,,,,,,6,1,1,38,230
1314,,,,,,,,,,,,,3,,,,,,1,,,,,,,2,61,270
1315,,,,,,,2,,,,,2,3,,,,,,,,,,,2,,,45,270
1316,,,,,,,1,,,,29,3,3,,,,,,,,,,,4,,1,,330
1317,,,,,3,,,,,,,,,,,,,,,,,,,,,,,300
1318,,,,1,7,,,,,,,,,,,1,,,,,,,,6,,1,,360
1319,,,,,,1,2,,,1,,,,,,,,,,1,,,,,1,1,42,240
132,,,,1,,,,,,3,,1,,,,,,,,1,,,,,,,,445
1320,,,,,,,1,,,,,,2,,2,,,,,,,,,4,,,,330
1321,,,,,4,,,,,,,,6,,,,,,,,,,,,3,6,,330
1322,,,,,,,1,,,,,,5,,,,,,,,,,,,1,,,390
1323,,,,1,,,2,,,,,2,2,,1,5,,,,,,,,5,,,,420
1324,,,,,6,1,2,,,,,,2,,,,,,,1,,,,,2,,41,320
1325,,,,1,,,,,,2,,,,,,,,,,,1,,,4,,,,210
1326,,,,,,1,2,,,,35,,4,,,,,,,1,,,,,3,,,360
1327,,,,1,5,,,,,2,,1,,,,6,,,,,,,,6,,,24,390
1328,,,,1,,1,,,,,,,3,,,,,,2,,,,,,,,37,360
1329,3,,,1,,,,,,,,,3,,,,,,,,,,,,,,56,305
133,,1,,1,,,,,,2,,,,,,10,,,,,,,,4,1,,,450
1330,,,,,9,,,,,,18,3,3,,,12,,,,,,,,8,,3,,460
1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,260
1332,,,,1,,,1,,,,,,3,,1,,,,,,,,,,,2,52,250
